Date,AUDCAD,AUDJPY,AUDNZD,AUDUSD,AUDCHF,CADJPY,CADCHF,CHFJPY,EURAUD,EURCAD,EURGBP,EURNZD,EURUSD,EURCHF,EURJPY,GBPAUD,GBPCAD,GBPJPY,GBPNZD,GBPUSD,GBPCHF,NZDCAD,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY
2013-12-02,0.967878,93.786617,1.112552,0.910087,0.826279,96.899185,0.853701,113.504829,1.48889,1.441064,0.828103,1.656467,1.355019,1.230238,139.637942,1.797953,1.7402,168.623935,2.000316,1.636293,1.48561,0.869962,84.298636,0.818017,1.063501,0.907912,103.052401
2013-12-03,0.972801,93.349603,1.10628,0.912288,0.823539,95.959598,0.846564,113.351809,1.49127,1.450709,0.828655,1.649762,1.360468,1.228118,139.209436,1.799626,1.750678,167.994395,1.990891,1.641778,1.482062,0.879344,84.381506,0.824645,1.066331,0.902718,102.324683
2013-12-04,0.963108,92.332486,1.102211,0.900767,0.815358,95.869305,0.846591,113.241617,1.505062,1.449537,0.828782,1.658896,1.35571,1.227165,138.966114,1.815993,1.748998,167.67519,2.001608,1.635787,1.480685,0.873796,83.770233,0.817236,1.069209,0.905182,102.504279
2013-12-05,0.964872,92.309695,1.104683,0.906823,0.813872,95.670378,0.843502,113.420424,1.506987,1.45405,0.836862,1.664742,1.366571,1.226494,139.109476,1.800759,1.737503,166.227536,1.989268,1.632971,1.465587,0.873438,83.562164,0.82089,1.064013,0.897498,101.794566
2013-12-06,0.969798,93.560774,1.099259,0.909481,0.81282,96.474466,0.838133,115.106346,1.505419,1.459953,0.838013,1.654845,1.36915,1.223635,140.848152,1.796415,1.74216,168.074,1.974726,1.633806,1.460163,0.882229,85.112575,0.827358,1.06632,0.893719,102.872679
2013-12-07,0.968225,93.632274,1.098877,0.9102,0.811816,96.705053,0.838458,115.336749,1.505776,1.457931,0.838508,1.654663,1.370558,1.222414,140.989269,1.795781,1.738721,168.143072,1.973343,1.63452,1.457845,0.881104,85.207221,0.8283,1.06375,0.89191,102.87
2013-12-08,0.968225,93.632274,1.098877,0.9102,0.811816,96.705053,0.838458,115.336749,1.505776,1.457931,0.83869,1.654663,1.370558,1.222414,140.989269,1.795391,1.738343,168.106554,1.972914,1.634165,1.457528,0.881104,85.207221,0.8283,1.06375,0.89191,102.87
2013-12-09,0.966876,93.774583,1.09837,0.908437,0.809875,96.987235,0.837621,115.788922,1.510972,1.460922,0.837007,1.659607,1.372623,1.223699,141.690785,1.805207,1.745411,169.282578,1.982786,1.639917,1.461993,0.880282,85.376128,0.827077,1.064329,0.891504,103.226329
2013-12-10,0.972292,94.101661,1.100369,0.915288,0.812126,96.783289,0.83527,115.870732,1.50442,1.462736,0.838265,1.655417,1.376977,1.221779,141.56838,1.794683,1.744957,168.882645,1.974814,1.642652,1.457509,0.883606,85.518262,0.831801,1.06228,0.88729,102.810982
2013-12-11,0.961753,92.789759,1.102293,0.906268,0.802785,96.479794,0.83471,115.584787,1.521983,1.463772,0.841742,1.677671,1.379325,1.221825,141.224391,1.808134,1.738979,167.776351,1.993094,1.638655,1.451544,0.872502,84.178859,0.822167,1.061223,0.885814,102.386624
