Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,1.874900,1.877800,1.853400,1.860400,1.860400,0
2003-12-02,1.860600,1.871600,1.854300,1.869000,1.869000,0
2003-12-03,1.869000,1.875700,1.859400,1.874200,1.874200,0
2003-12-04,1.874100,1.878500,1.865300,1.870000,1.870000,0
2003-12-05,1.870900,1.887100,1.869500,1.886500,1.886500,0
2003-12-08,1.885800,1.890400,1.875800,1.885800,1.885800,0
2003-12-09,1.885800,1.895600,1.884500,1.887000,1.887000,0
2003-12-10,1.887000,1.891100,1.876800,1.882100,1.882100,0
2003-12-11,1.882300,1.890000,1.875800,1.885900,1.885900,0
2003-12-12,1.885600,1.899500,1.881300,1.897800,1.897800,0
2003-12-15,1.886800,1.898100,1.884900,1.895000,1.895000,0
2003-12-16,1.896600,1.904400,1.889000,1.892700,1.892700,0
2003-12-17,1.891300,1.923400,1.891000,1.916200,1.916200,0
2003-12-18,1.916400,1.927400,1.906100,1.913900,1.913900,0
2003-12-19,1.913800,1.928900,1.913100,1.920100,1.920100,0
2003-12-22,1.922600,1.939000,1.920600,1.932200,1.932200,0
2003-12-23,1.932500,1.937500,1.860000,1.924800,1.924800,0
2003-12-24,1.926400,1.931700,1.916700,1.921700,1.921700,0
2003-12-25,1.922000,1.924600,1.920200,1.922600,1.922600,0
2003-12-26,1.922000,1.926000,1.916400,1.917600,1.917600,0
2003-12-29,1.917000,1.925900,1.913400,1.916700,1.916700,0
2003-12-30,1.916600,1.921400,1.910000,1.911700,1.911700,0
2003-12-31,1.911000,1.926200,1.910700,1.921500,1.921500,0
2004-01-01,1.919600,1.920500,1.912000,1.918400,1.918400,0
2004-01-02,1.918500,1.922600,1.907200,1.909200,1.909200,0
2004-01-05,1.909000,1.913100,1.880700,1.890000,1.890000,0
2004-01-06,1.890300,1.900700,1.887100,1.894900,1.894900,0
2004-01-07,1.895300,1.901200,1.877700,1.882600,1.882600,0
2004-01-08,1.882700,1.890200,1.868800,1.884500,1.884500,0
2004-01-09,1.884300,1.885700,1.868000,1.881800,1.881800,0
2004-01-12,1.881000,1.888000,1.861100,1.870200,1.870200,0
2004-01-13,1.871000,1.872400,1.851600,1.864700,1.864700,0
2004-01-14,1.864700,1.925900,1.851200,1.860700,1.860700,0
2004-01-15,1.860100,1.877100,1.859500,1.871300,1.871300,0
2004-01-16,1.871700,1.873500,1.852700,1.858000,1.858000,0
2004-01-19,1.871400,1.894300,1.871400,1.885200,1.885200,0
2004-01-20,1.885000,1.895100,1.878800,1.887200,1.887200,0
2004-01-21,1.887700,1.889700,1.870300,1.882700,1.882700,0
2004-01-22,1.882900,1.888700,1.871900,1.878400,1.878400,0
2004-01-23,1.876900,1.883700,1.867700,1.872800,1.872800,0
2004-01-26,1.870900,1.874100,1.850800,1.864400,1.864400,0
2004-01-27,1.864200,1.865200,1.845000,1.862800,1.862800,0
2004-01-28,1.862500,1.867600,1.837000,1.845100,1.845100,0
2004-01-29,1.846000,1.863200,1.840300,1.853200,1.853200,0
2004-01-30,1.852400,1.866300,1.847200,1.854600,1.854600,0
2004-02-02,1.852300,1.856000,1.838900,1.846900,1.846900,0
2004-02-03,1.837600,1.849700,1.831100,1.845400,1.845400,0
2004-02-04,1.844600,1.849700,1.831100,1.838500,1.838500,0
2004-02-05,1.837600,1.847100,1.823400,1.831900,1.831900,0
2004-02-06,1.831800,1.839600,1.822100,1.837000,1.837000,0
2004-02-09,1.837300,1.837300,1.818000,1.821600,1.821600,0
2004-02-10,1.822500,1.829700,1.812400,1.820800,1.820800,0
2004-02-11,1.820900,1.834500,1.819000,1.832500,1.832500,0
2004-02-12,1.833000,1.838500,1.827700,1.834600,1.834600,0
2004-02-13,1.834200,1.835400,1.813400,1.816000,1.816000,0
2004-02-16,1.813200,1.813200,1.801400,1.808600,1.808600,0
2004-02-17,1.808200,1.820000,1.802100,1.813300,1.813300,0
2004-02-18,1.819400,1.824900,1.808700,1.816200,1.816200,0
2004-02-19,1.814600,1.816000,1.806500,1.812000,1.812000,0
2004-02-20,1.813100,1.854600,1.808600,1.832800,1.832800,0
2004-02-23,1.834900,1.843400,1.825000,1.836400,1.836400,0
2004-02-24,1.836200,1.848300,1.829800,1.835200,1.835200,0
2004-02-25,1.835100,1.837600,1.811500,1.817500,1.817500,0
2004-02-26,1.817200,1.820200,1.800600,1.809900,1.809900,0
2004-02-27,1.809800,1.822800,1.805600,1.814700,1.814700,0
2004-03-01,1.819200,1.819800,1.799500,1.801200,1.801200,0
2004-03-02,1.801100,1.808400,1.782500,1.802900,1.802900,0
2004-03-03,1.803600,1.831700,1.800100,1.824200,1.824200,0
2004-03-04,1.824300,1.828900,1.807700,1.829300,1.829300,0
2004-03-05,1.829100,1.842000,1.815800,1.831400,1.831400,0
2004-03-08,1.831300,1.839700,1.824300,1.827000,1.827000,0
2004-03-09,1.826500,1.830000,1.810200,1.819900,1.819900,0
2004-03-10,1.826500,1.865100,1.810200,1.849500,1.849500,0
2004-03-11,1.850700,1.913500,1.849000,1.911300,1.911300,0
2004-03-12,1.911400,1.934200,1.888600,1.896900,1.896900,0
2004-03-15,1.897700,1.914700,1.890500,1.896400,1.896400,0
2004-03-16,1.895200,1.904900,1.881700,1.883800,1.883800,0
2004-03-17,1.883400,1.889900,1.872800,1.877300,1.877300,0
2004-03-18,1.877400,1.887500,1.869400,1.879700,1.879700,0
2004-03-19,1.879500,1.891600,1.865300,1.868400,1.868400,0
2004-03-22,1.872600,1.878000,1.855200,1.863800,1.863800,0
2004-03-23,1.864100,1.872300,1.857700,1.867100,1.867100,0
2004-03-24,1.867300,1.877300,1.848400,1.861800,1.861800,0
2004-03-25,1.861600,1.882900,1.857800,1.871900,1.871900,0
2004-03-26,1.873500,1.882900,1.858200,1.860000,1.860000,0
2004-03-29,1.867400,1.871500,1.856800,1.868000,1.868000,0
2004-03-30,1.866700,1.870200,1.846500,1.851900,1.851900,0
2004-03-31,1.851600,1.851800,1.828900,1.841800,1.841800,0
2004-04-01,1.841300,1.857500,1.840800,1.849700,1.849700,0
2004-04-02,1.848800,1.854300,1.836700,1.839300,1.839300,0
