Date,Open,High,Low,Close,Adj Close,Volume
2003-06-03,2.816700,2.828000,2.794000,2.807600,2.807600,0
2003-06-04,2.806400,2.814200,2.792500,2.803600,2.803600,0
2003-06-05,2.802800,2.875200,2.795800,2.869000,2.869000,0
2003-06-06,2.869000,2.896500,2.856200,2.880000,2.880000,0
2003-06-09,2.879700,2.887700,2.851200,2.868100,2.868100,0
2003-06-10,2.866500,2.888800,2.863700,2.887300,2.887300,0
2003-06-11,2.887300,2.903100,2.871800,2.890800,2.890800,0
2003-06-12,2.886300,2.897400,2.875300,2.878800,2.878800,0
2003-06-13,2.880300,2.895300,2.865400,2.881100,2.881100,0
2003-06-16,2.874100,2.894700,2.865900,2.877000,2.877000,0
2003-06-17,2.877800,2.892600,2.869500,2.876000,2.876000,0
2003-06-18,2.876500,2.883900,2.857700,2.870500,2.870500,0
2003-06-19,2.869700,2.891000,2.862900,2.876800,2.876800,0
2003-06-20,2.876000,2.878000,2.834100,2.838500,2.838500,0
2003-06-23,2.845900,2.855200,2.816000,2.839800,2.839800,0
2003-06-24,2.839400,2.854500,2.828300,2.833700,2.833700,0
2003-06-25,2.832600,2.866900,2.831400,2.858300,2.858300,0
2003-06-26,2.856400,2.871200,2.834600,2.861600,2.861600,0
2003-06-27,2.860400,2.862900,2.824400,2.837500,2.837500,0
2003-06-30,2.832000,2.844600,2.810400,2.816900,2.816900,0
2003-07-01,2.817100,2.828000,2.784200,2.804100,2.804100,0
2003-07-02,2.803100,2.808400,2.786100,2.798600,2.798600,0
2003-07-03,2.799100,2.812600,2.788500,2.812000,2.812000,0
2003-07-04,2.800500,2.808000,2.791500,2.807200,2.807200,0
2003-07-07,2.798500,2.799400,2.737800,2.752500,2.752500,0
2003-07-08,2.752100,2.786300,2.747400,2.763600,2.763600,0
2003-07-09,2.766300,2.789400,2.754400,2.786900,2.786900,0
2003-07-10,2.779600,2.837300,2.751300,2.775900,2.775900,0
2003-07-11,2.778200,2.789900,2.743000,2.758200,2.758200,0
2003-07-14,2.757400,2.766200,2.729700,2.749000,2.749000,0
2003-07-15,2.749200,2.765700,2.731800,2.745300,2.745300,0
2003-07-16,2.745500,2.751200,2.717200,2.726600,2.726600,0
2003-07-17,2.730900,2.812000,2.716600,2.783800,2.783800,0
2003-07-18,2.781900,2.787100,2.753800,2.775300,2.775300,0
2003-07-21,2.754600,2.791400,2.749300,2.781500,2.781500,0
2003-07-22,2.775400,2.784200,2.758400,2.771000,2.771000,0
2003-07-23,2.771000,2.785400,2.751000,2.757600,2.757600,0
